fCnt,rssi,dr,freq
660,-77,5,915800000
661,-74,5,915200000
662,-75,5,916400000
663,-78,5,916200000
664,-83,5,916000000
665,-84,5,916400000
666,-90,5,916000000
667,-92,5,915200000
668,-97,5,915400000
669,-96,5,915800000
670,-96,5,915600000
671,-93,5,916200000
672,-93,5,916200000
673,-88,5,915800000
674,-76,5,916400000
675,-73,5,916000000
676,-75,5,915600000
677,-73,5,915200000
678,-68,5,915400000
679,-71,5,916400000
680,-76,5,915200000
681,-76,5,915400000
682,-75,5,916000000
683,-73,5,916200000
684,-73,5,915600000
685,-70,5,915800000
686,-74,5,915600000
687,-73,5,915800000
688,-73,5,916400000
689,-74,5,915400000
690,-71,5,915200000
691,-71,5,916200000
692,-75,5,916000000
693,-70,5,916000000
694,-70,5,916400000
695,-73,5,916200000
696,-74,5,915200000
697,-71,5,915600000
698,-71,5,915800000
699,-82,5,915400000
700,-85,5,915600000
701,-85,5,915400000
702,-74,5,915800000
703,-76,5,916400000
704,-82,5,916200000
705,-91,5,916000000
706,-78,5,915200000
707,-82,5,915800000
708,-81,5,915200000
709,-82,5,916000000
710,-81,5,916200000
711,-81,5,915600000
712,-79,5,916400000
713,-80,5,915400000
714,-78,5,916200000
715,-81,5,915400000
716,-79,5,915600000
717,-79,5,915800000
718,-79,5,916400000
719,-82,5,915200000
720,-82,5,916000000
721,-99,5,915400000
722,-85,5,915600000
723,-90,5,916400000
724,-83,5,916200000
725,-85,5,915800000
726,-87,5,916000000
727,-85,5,915200000
728,-90,5,916400000
729,-91,5,916000000
730,Sem resposta,5,915200000
731,-86,5,916200000
732,-84,5,915400000
733,-85,5,915600000
734,-85,5,915800000
735,-87,5,916400000
736,-97,5,915400000
737,-82,5,916200000
738,-85,5,915600000
739,-84,5,916000000
740,-83,5,915200000
741,-83,5,915800000
742,-84,5,916000000
743,-88,5,915200000
744,-93,5,916400000
745,-84,5,915400000
746,-91,5,915600000
747,-94,5,916200000
748,-86,5,915800000
749,-91,5,916200000
750,-85,5,915600000
751,-91,5,915200000
752,-91,5,916400000
753,-83,5,915400000
754,-96,5,916000000
755,-86,5,915800000
756,-90,5,916000000
757,-86,5,915400000
758,-97,5,915600000
759,-95,5,916400000
760,-84,5,915800000
761,-90,5,915200000
762,-82,5,916200000
763,-97,5,915400000
764,-96,5,916400000
765,-84,5,915800000
766,-91,5,915600000
767,-95,5,916200000
768,-87,5,915200000
769,-88,5,916000000
770,-90,5,915400000
771,-90,5,916200000
772,-84,5,915200000
773,-92,5,915600000
774,-90,5,915800000
775,-83,5,916400000
776,-86,5,916000000
777,-85,5,916400000
778,-90,5,915200000
779,-90,5,916000000
780,-99,5,916200000
781,-92,5,915400000
782,-95,5,915800000
783,-90,5,915600000
784,-88,5,915800000
785,-81,5,916000000
786,-83,5,915400000
787,-81,5,916200000
788,-80,5,916400000
789,-79,5,915600000
790,-79,5,915200000
791,-80,5,916000000
792,-80,5,915800000
793,-78,5,915400000
794,-78,5,915600000
795,-79,5,916200000
796,-79,5,915200000
797,-79,5,916400000
798,-78,5,915200000
799,-78,5,916200000
800,-80,5,916000000
801,-79,5,915600000
802,-78,5,915800000
803,-80,5,915400000
804,-81,5,916400000
805,-101,5,915800000
806,-82,5,916400000
807,-83,5,916000000
808,-83,5,916200000
809,-85,5,915200000
810,-83,5,915400000
811,-82,5,915600000
812,-82,5,916200000
813,-80,5,916400000
814,-80,5,915200000
815,-88,5,915800000
816,-88,5,915600000
817,-84,5,915400000
818,-84,5,916000000
819,-81,5,916400000
820,-88,5,915600000
821,-84,5,916000000
822,-85,5,915400000
823,-87,5,916200000
824,-91,5,915800000
825,-91,5,915200000
826,-92,5,915800000
827,-80,5,916000000
828,-86,5,915200000
829,-81,5,915400000
830,-83,5,916400000
831,-77,5,915600000
832,-91,5,916200000
833,-81,5,916000000
834,-81,5,915600000
835,-97,5,916400000
836,-86,5,915200000
837,-93,5,915800000
838,-79,5,915400000
839,-77,5,916200000
840,-79,5,915600000
841,-85,5,915400000
842,-75,5,916000000
843,-76,5,916200000
844,-75,5,916400000
845,-78,5,915800000
846,-73,5,915200000
847,-79,5,916400000
848,-73,5,915400000
849,-81,5,915600000
850,-80,5,915800000
851,-76,5,916000000
852,-81,5,916200000
853,-82,5,915200000
854,-91,5,915600000
855,-74,5,916200000
856,-77,5,916000000
857,-86,5,915200000
858,-84,5,915400000
859,-76,5,916400000
860,-81,5,915800000
861,-82,5,915400000
862,-83,5,916400000
863,-80,5,915800000
864,-74,5,915200000
865,-93,5,915600000
866,-84,5,916000000
867,-87,5,916200000
868,-78,5,916000000
869,-78,5,915200000
870,-83,5,916400000
871,-90,5,916200000
872,-84,5,915400000
873,-84,5,915800000
874,-95,5,915600000
875,-86,5,915400000
876,-93,5,916400000
877,-87,5,916200000
878,-91,5,915800000
879,-93,5,915600000
880,-84,5,915200000
881,-96,5,916000000
882,-101,5,916000000
883,-91,5,915200000
884,-80,5,916400000
885,-79,5,915400000
886,-75,5,916200000
887,-79,5,915600000
888,-84,5,915800000
889,-87,5,915400000
890,-77,5,915600000
891,-70,5,916000000
892,-77,5,916400000
893,-74,5,915800000
894,-92,5,916200000
895,-85,5,915200000
896,-80,5,915400000
897,-81,5,916200000
898,-80,5,916000000
899,-84,5,915800000
900,-87,5,915200000
901,-91,5,916400000
902,-90,5,915600000
903,-88,5,915600000
904,-92,5,916200000
905,-98,5,915400000
906,-80,5,915800000
907,-91,5,915200000
908,-80,5,916000000
909,-80,5,916400000
910,-101,5,916000000
911,-81,5,915800000
912,-77,5,916200000
913,-87,5,915400000
914,Sem resposta,5,915600000
915,-77,5,916400000
916,-75,5,915200000
918,Sem resposta,5,915600000
919,-73,5,915200000
920,-90,5,915400000
921,-75,5,916400000
922,-83,5,916200000
923,-67,5,915800000
924,-69,5,915400000
925,-68,5,916400000
926,-69,5,915800000
927,-68,5,916200000
928,-71,5,915200000
929,-82,5,916000000
930,-70,5,915600000
931,-82,5,915600000
932,-75,5,915400000
933,-85,5,915200000
934,-86,5,916000000
935,-81,5,916200000
936,-91,5,915800000
937,-82,5,916400000
938,-80,5,916200000
939,-91,5,916400000
