fCnt,data,adr,dr,frequency
486,-86,False,5,915600000
487,-84,False,5,916200000
488,-79,False,5,916000000
489,-82,False,5,915400000
490,-92,False,5,916000000
491,-78,False,5,916400000
492,-82,False,5,915200000
493,-92,False,5,915400000
494,-93,False,5,915800000
495,-77,False,5,915600000
496,-78,False,5,916200000
497,-76,False,5,916400000
498,-79,False,5,915400000
499,-78,False,5,915200000
500,-82,False,5,915600000
501,-77,False,5,916200000
502,-79,False,5,915800000
503,-83,False,5,916000000
504,-83,False,5,915600000
505,-80,False,5,915400000
506,-81,False,5,915800000
507,-77,False,5,916400000
508,-77,False,5,916000000
509,-77,False,5,916200000
510,-81,False,5,915200000
511,-80,False,5,916200000
512,-78,False,5,915600000
513,-78,False,5,915400000
514,-79,False,5,916000000
515,-80,False,5,916400000
516,-81,False,5,915200000
517,-84,False,5,915800000
518,-78,False,5,916000000
519,-79,False,5,915600000
520,-78,False,5,916400000
521,-79,False,5,915400000
522,-81,False,5,916200000
523,-81,False,5,915200000
524,-81,False,5,915800000
525,-80,False,5,916200000
526,-80,False,5,916000000
527,-82,False,5,915600000
528,-80,False,5,915200000
529,-80,False,5,915800000
530,-73,False,5,915400000
531,-83,False,5,916400000
532,-73,False,5,915800000
533,-81,False,5,916000000
534,-76,False,5,915600000
535,-68,False,5,916200000
536,-78,False,5,915400000
537,-77,False,5,915200000
538,-80,False,5,916400000
539,-70,False,5,916400000
540,-74,False,5,915400000
541,-71,False,5,915800000
542,-61,False,5,915600000
543,-82,False,5,916000000
544,-64,False,5,916200000
545,-68,False,5,915200000
546,-66,False,5,916400000
547,-69,False,5,915200000
548,-62,False,5,916200000
549,-61,False,5,915600000
550,-68,False,5,915400000
551,-64,False,5,915800000
552,-63,False,5,916000000
553,-76,False,5,915800000
554,-66,False,5,916400000
555,-64,False,5,915400000
556,-65,False,5,915200000
557,-66,False,5,916200000
558,-71,False,5,916000000
559,-64,False,5,915600000
560,-73,False,5,915200000
561,-67,False,5,916000000
562,-63,False,5,915400000
563,-64,False,5,916400000
564,-94,False,5,915800000
565,-64,False,5,916200000
566,-73,False,5,915600000
567,-77,False,5,915600000
568,-66,False,5,915400000
569,-78,False,5,916200000
570,-65,False,5,916000000
571,-61,False,5,916400000
572,-62,False,5,915200000
573,-54,False,5,915800000
574,-73,False,5,915800000
575,-71,False,5,916200000
576,-62,False,5,915600000
577,-59,False,5,915400000
578,-70,False,5,916000000
579,-76,False,5,916400000
580,-68,False,5,915200000
581,-73,False,5,916400000
582,-71,False,5,915800000
583,-71,False,5,915600000
584,-76,False,5,915200000
585,-75,False,5,916000000
586,-69,False,5,916200000
587,-76,False,5,915400000
588,-74,False,5,915400000
589,-66,False,5,916400000
590,-69,False,5,916000000
591,-74,False,5,916200000
592,-83,False,5,915200000
593,-73,False,5,915800000
594,-79,False,5,915600000
595,-76,False,5,916400000
596,-73,False,5,915400000
597,-74,False,5,916200000
598,-75,False,5,915600000
599,-74,False,5,915800000
600,-71,False,5,915200000
601,-71,False,5,916000000
602,-70,False,5,915400000
603,-74,False,5,915800000
604,-81,False,5,916000000
605,-78,False,5,915600000
606,-78,False,5,915200000
607,-71,False,5,916200000
608,-73,False,5,916400000
609,-75,False,5,915200000
610,-83,False,5,916400000
611,-82,False,5,916200000
612,-95,False,5,916000000
613,-76,False,5,915800000
614,-79,False,5,915400000
615,-78,False,5,915600000
616,-83,False,5,916000000
617,-82,False,5,916200000
618,-91,False,5,915200000
619,-101,False,5,916400000
620,-99,False,5,915600000
621,-94,False,5,915400000
622,-96,False,5,915800000
623,-82,False,5,915800000
624,-79,False,5,915400000
625,-91,False,5,915200000
626,-85,False,5,916000000
627,-88,False,5,915600000
628,-83,False,5,916200000
629,-81,False,5,916400000
630,-86,False,5,915800000
631,-91,False,5,915400000
632,-85,False,5,916000000
633,-78,False,5,915600000
634,-80,False,5,916400000
635,-85,False,5,915200000
636,-90,False,5,916200000
637,-88,False,5,916200000
638,-75,False,5,916400000
639,-78,False,5,915800000
640,-88,False,5,916000000
641,-81,False,5,915400000
642,-76,False,5,915600000
643,-74,False,5,915200000
644,-70,False,5,916400000
645,-73,False,5,915800000
646,-70,False,5,915400000
648,Sem resposta,False,5,915600000
649,-79,False,5,916000000
650,Sem resposta,False,5,915200000
651,-75,False,5,915400000
652,-78,False,5,916000000
653,-74,False,5,915200000
654,-78,False,5,916200000
655,-88,False,5,915800000
656,-86,False,5,916400000
657,-80,False,5,915600000
658,-88,False,5,915400000
659,-80,False,5,915600000
660,-77,False,5,915800000
661,-74,False,5,915200000
662,-75,False,5,916400000
663,-78,False,5,916200000
664,-83,False,5,916000000
665,-84,False,5,916400000
666,-90,False,5,916000000
667,-92,False,5,915200000
668,-97,False,5,915400000
669,-96,False,5,915800000
670,-96,False,5,915600000
671,-93,False,5,916200000
672,-93,False,5,916200000
673,-88,False,5,915800000
674,-76,False,5,916400000
675,-73,False,5,916000000
676,-75,False,5,915600000
677,-73,False,5,915200000
678,-68,False,5,915400000
679,-71,False,5,916400000
680,-76,False,5,915200000
681,-76,False,5,915400000
682,-75,False,5,916000000
683,-73,False,5,916200000
684,-73,False,5,915600000
685,-70,False,5,915800000
686,-74,False,5,915600000
687,-73,False,5,915800000
688,-73,False,5,916400000
689,-74,False,5,915400000
690,-71,False,5,915200000
691,-71,False,5,916200000
692,-75,False,5,916000000
693,-70,False,5,916000000
694,-70,False,5,916400000
695,-73,False,5,916200000
696,-74,False,5,915200000
697,-71,False,5,915600000
698,-71,False,5,915800000
699,-82,False,5,915400000
700,-85,False,5,915600000
701,-85,False,5,915400000
702,-74,False,5,915800000
703,-76,False,5,916400000
704,-82,False,5,916200000
705,-91,False,5,916000000
706,-78,False,5,915200000
707,-82,False,5,915800000
708,-81,False,5,915200000
709,-82,False,5,916000000
710,-81,False,5,916200000
711,-81,False,5,915600000
712,-79,False,5,916400000
713,-80,False,5,915400000
714,-78,False,5,916200000
715,-81,False,5,915400000
716,-79,False,5,915600000
717,-79,False,5,915800000
718,-79,False,5,916400000
719,-82,False,5,915200000
720,-82,False,5,916000000
721,-99,False,5,915400000
722,-85,False,5,915600000
723,-90,False,5,916400000
724,-83,False,5,916200000
725,-85,False,5,915800000
726,-87,False,5,916000000
727,-85,False,5,915200000
728,-90,False,5,916400000
729,-91,False,5,916000000
730,Sem resposta,False,5,915200000
731,-86,False,5,916200000
732,-84,False,5,915400000
733,-85,False,5,915600000
734,-85,False,5,915800000
735,-87,False,5,916400000
736,-97,False,5,915400000
737,-82,False,5,916200000
738,-85,False,5,915600000
739,-84,False,5,916000000
740,-83,False,5,915200000
741,-83,False,5,915800000
742,-84,False,5,916000000
743,-88,False,5,915200000
744,-93,False,5,916400000
745,-84,False,5,915400000
746,-91,False,5,915600000
747,-94,False,5,916200000
748,-86,False,5,915800000
749,-91,False,5,916200000
750,-85,False,5,915600000
751,-91,False,5,915200000
752,-91,False,5,916400000
753,-83,False,5,915400000
754,-96,False,5,916000000
755,-86,False,5,915800000
756,-90,False,5,916000000
757,-86,False,5,915400000
758,-97,False,5,915600000
759,-95,False,5,916400000
760,-84,False,5,915800000
761,-90,False,5,915200000
762,-82,False,5,916200000
763,-97,False,5,915400000
764,-96,False,5,916400000
765,-84,False,5,915800000
766,-91,False,5,915600000
767,-95,False,5,916200000
768,-87,False,5,915200000
769,-88,False,5,916000000
770,-90,False,5,915400000
771,-90,False,5,916200000
772,-84,False,5,915200000
773,-92,False,5,915600000
774,-90,False,5,915800000
775,-83,False,5,916400000
776,-86,False,5,916000000
777,-85,False,5,916400000
778,-90,False,5,915200000
779,-90,False,5,916000000
780,-99,False,5,916200000
781,-92,False,5,915400000
782,-95,False,5,915800000
783,-90,False,5,915600000
784,-88,False,5,915800000
785,-81,False,5,916000000
786,-83,False,5,915400000
787,-81,False,5,916200000
788,-80,False,5,916400000
789,-79,False,5,915600000
790,-79,False,5,915200000
791,-80,False,5,916000000
792,-80,False,5,915800000
793,-78,False,5,915400000
794,-78,False,5,915600000
795,-79,False,5,916200000
796,-79,False,5,915200000
797,-79,False,5,916400000
798,-78,False,5,915200000
799,-78,False,5,916200000
800,-80,False,5,916000000
801,-79,False,5,915600000
802,-78,False,5,915800000
803,-80,False,5,915400000
804,-81,False,5,916400000
805,-101,False,5,915800000
806,-82,False,5,916400000
807,-83,False,5,916000000
808,-83,False,5,916200000
809,-85,False,5,915200000
810,-83,False,5,915400000
811,-82,False,5,915600000
812,-82,False,5,916200000
813,-80,False,5,916400000
814,-80,False,5,915200000
815,-88,False,5,915800000
816,-88,False,5,915600000
817,-84,False,5,915400000
818,-84,False,5,916000000
819,-81,False,5,916400000
820,-88,False,5,915600000
821,-84,False,5,916000000
822,-85,False,5,915400000
823,-87,False,5,916200000
824,-91,False,5,915800000
825,-91,False,5,915200000
826,-92,False,5,915800000
827,-80,False,5,916000000
828,-86,False,5,915200000
829,-81,False,5,915400000
830,-83,False,5,916400000
831,-77,False,5,915600000
832,-91,False,5,916200000
833,-81,False,5,916000000
834,-81,False,5,915600000
835,-97,False,5,916400000
836,-86,False,5,915200000
837,-93,False,5,915800000
838,-79,False,5,915400000
839,-77,False,5,916200000
840,-79,False,5,915600000
841,-85,False,5,915400000
842,-75,False,5,916000000
843,-76,False,5,916200000
844,-75,False,5,916400000
845,-78,False,5,915800000
846,-73,False,5,915200000
847,-79,False,5,916400000
848,-73,False,5,915400000
849,-81,False,5,915600000
850,-80,False,5,915800000
851,-76,False,5,916000000
852,-81,False,5,916200000
853,-82,False,5,915200000
854,-91,False,5,915600000
855,-74,False,5,916200000
856,-77,False,5,916000000
857,-86,False,5,915200000
858,-84,False,5,915400000
859,-76,False,5,916400000
860,-81,False,5,915800000
861,-82,False,5,915400000
862,-83,False,5,916400000
863,-80,False,5,915800000
864,-74,False,5,915200000
865,-93,False,5,915600000
866,-84,False,5,916000000
867,-87,False,5,916200000
868,-78,False,5,916000000
869,-78,False,5,915200000
870,-83,False,5,916400000
871,-90,False,5,916200000
872,-84,False,5,915400000
873,-84,False,5,915800000
874,-95,False,5,915600000
875,-86,False,5,915400000
876,-93,False,5,916400000
877,-87,False,5,916200000
878,-91,False,5,915800000
879,-93,False,5,915600000
880,-84,False,5,915200000
881,-96,False,5,916000000
882,-101,False,5,916000000
883,-91,False,5,915200000
884,-80,False,5,916400000
885,-79,False,5,915400000
886,-75,False,5,916200000
887,-79,False,5,915600000
888,-84,False,5,915800000
889,-87,False,5,915400000
890,-77,False,5,915600000
891,-70,False,5,916000000
892,-77,False,5,916400000
893,-74,False,5,915800000
894,-92,False,5,916200000
895,-85,False,5,915200000
896,-80,False,5,915400000
897,-81,False,5,916200000
898,-80,False,5,916000000
899,-84,False,5,915800000
900,-87,False,5,915200000
901,-91,False,5,916400000
902,-90,False,5,915600000
903,-88,False,5,915600000
904,-92,False,5,916200000
905,-98,False,5,915400000
906,-80,False,5,915800000
907,-91,False,5,915200000
908,-80,False,5,916000000
909,-80,False,5,916400000
910,-101,False,5,916000000
911,-81,False,5,915800000
912,-77,False,5,916200000
913,-87,False,5,915400000
914,Sem resposta,False,5,915600000
915,-77,False,5,916400000
916,-75,False,5,915200000
918,Sem resposta,False,5,915600000
919,-73,False,5,915200000
920,-90,False,5,915400000
921,-75,False,5,916400000
922,-83,False,5,916200000
923,-67,False,5,915800000
924,-69,False,5,915400000
925,-68,False,5,916400000
926,-69,False,5,915800000
927,-68,False,5,916200000
928,-71,False,5,915200000
929,-82,False,5,916000000
930,-70,False,5,915600000
931,-82,False,5,915600000
932,-75,False,5,915400000
933,-85,False,5,915200000
934,-86,False,5,916000000
935,-81,False,5,916200000
936,-91,False,5,915800000
937,-82,False,5,916400000
938,-80,False,5,916200000
939,-91,False,5,916400000
940,-82,False,5,915800000
941,-86,False,5,915400000
942,-87,False,5,915200000
943,-90,False,5,915600000
944,-90,False,5,916000000
945,-85,False,5,916000000
946,-87,False,5,915600000
947,-91,False,5,916200000
948,-84,False,5,915200000
949,-91,False,5,916400000
950,-83,False,5,915400000
951,-85,False,5,915800000
952,-84,False,5,916200000
953,-88,False,5,915200000
954,-85,False,5,916000000
955,Sem resposta,False,5,915800000
956,-86,False,5,915600000
957,-85,False,5,915400000
958,-86,False,5,916400000
959,-85,False,5,915600000
960,-83,False,5,915200000
961,-87,False,5,916200000
962,-90,False,5,916000000
963,-84,False,5,915800000
964,-86,False,5,916400000
965,-85,False,5,915400000
966,-80,False,5,916000000
967,-79,False,5,916400000
968,-82,False,5,916200000
969,-82,False,5,915400000
970,-84,False,5,915200000
971,-91,False,5,915800000
972,-79,False,5,915600000
973,-84,False,5,916200000
974,-81,False,5,915600000
975,-85,False,5,916400000
976,-81,False,5,915200000
977,-81,False,5,915400000
978,-77,False,5,915800000
979,-77,False,5,916000000
980,-77,False,5,916200000
981,-77,False,5,916000000
982,-77,False,5,915800000
983,-77,False,5,916400000
984,-78,False,5,915600000
985,-79,False,5,915400000
986,-83,False,5,915200000
987,-83,False,5,915600000
988,-82,False,5,915800000
989,-83,False,5,915200000
990,-91,False,5,916000000
991,-79,False,5,916200000
992,-80,False,5,916400000
993,-86,False,5,915400000
994,-87,False,5,915200000
995,-93,False,5,915800000
996,-87,False,5,916200000
997,-84,False,5,915400000
998,-86,False,5,916000000
999,-88,False,5,915600000
1000,-90,False,5,916400000
1001,-85,False,5,915200000
1002,-82,False,5,916200000
1003,-85,False,5,916000000
1004,-81,False,5,915400000
1005,-90,False,5,915800000
1006,-91,False,5,916400000
1007,-81,False,5,915600000
1008,-90,False,5,916200000
1009,-83,False,5,916000000
1010,-83,False,5,916400000
1011,-82,False,5,915600000
1012,-86,False,5,915800000
1013,-81,False,5,915200000
1014,-81,False,5,915400000
1015,-91,False,5,916400000
1017,Sem resposta,False,5,916200000
1018,-78,False,5,915600000
1019,-82,False,5,915800000
1020,-80,False,5,915200000
1021,-83,False,5,916000000
1022,-78,False,5,915800000
1023,-79,False,5,916400000
1024,-79,False,5,915200000
1025,-88,False,5,915600000
1026,-83,False,5,915400000
1027,-90,False,5,916000000
1028,-83,False,5,916200000
1029,-83,False,5,915400000
1030,-83,False,5,916400000
1031,-83,False,5,915200000
1032,-87,False,5,915600000
1033,-83,False,5,916200000
1034,-84,False,5,915800000
1035,-84,False,5,916000000
1036,-84,False,5,915400000
1037,-87,False,5,915600000
1038,-85,False,5,915200000
1039,-87,False,5,916200000
1040,-85,False,5,915800000
1041,-86,False,5,916000000
1042,-86,False,5,916400000
1043,-85,False,5,916200000
1044,-85,False,5,916000000
1045,-82,False,5,915200000
1046,-84,False,5,915600000
1047,-85,False,5,916400000
1048,-83,False,5,915800000
1049,-86,False,5,915400000
1050,-87,False,5,915400000
1051,-90,False,5,915600000
1052,-84,False,5,916400000
1053,-85,False,5,915800000
1054,-85,False,5,915200000
1055,-85,False,5,916200000
1056,-87,False,5,916000000
1057,-95,False,5,915800000
1058,-95,False,5,916000000
1059,-92,False,5,915200000
1060,-85,False,5,916400000
1061,-83,False,5,915600000
1062,-84,False,5,916200000
1063,-85,False,5,915400000
1064,-90,False,5,916200000
1065,-88,False,5,916400000
1066,-93,False,5,915600000
