fCnt,freq,bw,sf,cr,rssi,channel,timestamp
187,916200000,125,7,4/5,-48,5,921826108
188,915400000,125,7,4/5,-48,1,922902123
189,916200000,125,7,4/5,-53,5,923978140
190,916400000,125,7,4/5,-48,6,925054148
191,915400000,125,7,4/5,-50,1,926130163
192,916000000,125,7,4/5,-49,4,927206187
193,915200000,125,7,4/5,-48,0,928282195
194,915800000,125,7,4/5,-45,3,929358203
195,915600000,125,7,4/5,-51,2,930434219
196,915800000,125,7,4/5,-51,3,931510235
197,916200000,125,7,4/5,-49,5,932586252
198,915200000,125,7,4/5,-52,0,933662267
199,916400000,125,7,4/5,-48,6,934738284
200,916000000,125,7,4/5,-49,4,935814299
201,915600000,125,7,4/5,-47,2,936890307
202,915400000,125,7,4/5,-46,1,937966323
203,915200000,125,7,4/5,-47,0,939042339
204,915400000,125,7,4/5,-47,1,940118355
205,916000000,125,7,4/5,-48,4,941194371
206,916200000,125,7,4/5,-46,5,942270388
207,915800000,125,7,4/5,-48,3,943346395
208,915600000,125,7,4/5,-45,2,944422411
209,916400000,125,7,4/5,-48,6,945498428
210,916200000,125,7,4/5,-47,5,946574444
211,915800000,125,7,4/5,-45,3,947650451
212,915400000,125,7,4/5,-44,1,948726475
213,915200000,125,7,4/5,-45,0,949802491
214,916400000,125,7,4/5,-47,6,950878500
215,915600000,125,7,4/5,-45,2,951954515
216,916000000,125,7,4/5,-46,4,953030531
217,915800000,125,7,4/5,-46,3,954106539
218,915600000,125,7,4/5,-46,2,955182555
219,916400000,125,7,4/5,-47,6,956258572
220,915200000,125,7,4/5,-46,0,957334587
221,915400000,125,7,4/5,-51,1,958410603
222,916200000,125,7,4/5,-47,5,959486620
223,916000000,125,7,4/5,-47,4,960562635
224,915400000,125,7,4/5,-46,1,963578939
225,916400000,125,7,4/5,-45,6,964654684
226,915200000,125,7,4/5,-47,0,965730707
227,916200000,125,7,4/5,-46,5,966806724
228,915800000,125,7,4/5,-47,3,967882731
229,915600000,125,7,4/5,-45,2,968958747
230,916000000,125,7,4/5,-47,4,970034763
231,915600000,125,7,4/5,-46,2,971110779
232,915800000,125,7,4/5,-45,3,972186787
233,916200000,125,7,4/5,-46,5,973262812
234,915400000,125,7,4/5,-46,1,974338827
235,916000000,125,7,4/5,-48,4,975414843
236,915200000,125,7,4/5,-47,0,976490859
237,916400000,125,7,4/5,-48,6,977566868
238,915800000,125,7,4/5,-48,3,978642875
239,916000000,125,7,4/5,-48,4,979718899
240,915400000,125,7,4/5,-46,1,980794915
241,915600000,125,7,4/5,-47,2,981870923
242,916200000,125,7,4/5,-46,5,982946940
243,916400000,125,7,4/5,-51,6,984022956
244,915200000,125,7,4/5,-48,0,985098971
245,915600000,125,7,4/5,-45,2,986174987
246,915400000,125,7,4/5,-46,1,987251003
247,916000000,125,7,4/5,-48,4,988327019
248,916400000,125,7,4/5,-45,6,989403028
249,916200000,125,7,4/5,-46,5,990479044
250,915200000,125,7,4/5,-49,0,991555059
251,915800000,125,7,4/5,-49,3,992631075
252,916000000,125,7,4/5,-49,4,993707091
253,915200000,125,7,4/5,-47,0,994783107
254,916400000,125,7,4/5,-47,6,995859116
255,915800000,125,7,4/5,-45,3,996935131
256,916200000,125,7,4/5,-61,5,998011148
257,915400000,125,7,4/5,-45,1,999087171
258,915600000,125,7,4/5,-43,2,1000163179
259,915600000,125,7,4/5,-39,2,1001239195
260,915400000,125,7,4/5,-45,1,1002315203
261,915800000,125,7,4/5,-42,3,1003391219
262,916200000,125,7,4/5,-40,5,1004467236
263,916000000,125,7,4/5,-52,4,1005543259
264,916400000,125,7,4/5,-43,6,1006619268
265,915200000,125,7,4/5,-43,0,1007695283
266,915600000,125,7,4/5,-35,2,1008771291
267,915200000,125,7,4/5,-34,0,1009847315
268,916400000,125,7,4/5,-35,6,1010923324
269,915400000,125,7,4/5,-40,1,1011999339
270,916000000,125,7,4/5,-47,4,1013075355
271,916200000,125,7,4/5,-52,5,1014151372
272,915800000,125,7,4/5,-48,3,1015227379
273,915600000,125,7,4/5,-39,2,1016303395
274,915200000,125,7,4/5,-47,0,1017379419
275,915800000,125,7,4/5,-63,3,1018455427
276,915400000,125,7,4/5,-42,1,1019531443
277,916200000,125,7,4/5,-57,5,1020607460
278,916000000,125,7,4/5,-49,4,1021683475
279,916400000,125,7,4/5,-53,6,1022759484
280,915200000,125,7,4/5,-51,0,1023835507
281,916200000,125,7,4/5,-65,5,1024911516
282,915400000,125,7,4/5,-57,1,1025987531
283,916000000,125,7,4/5,-55,4,1027063547
284,916400000,125,7,4/5,-61,6,1028139564
285,915600000,125,7,4/5,-55,2,1029215579
286,915800000,125,7,4/5,-69,3,1030291587
287,915600000,125,7,4/5,-59,2,1031367603
288,916000000,125,7,4/5,-58,4,1032443627
289,916200000,125,7,4/5,-54,5,1033519636
290,915800000,125,7,4/5,-61,3,1034595651
291,915200000,125,7,4/5,-65,0,1035671667
292,915400000,125,7,4/5,-55,1,1036747683
293,916400000,125,7,4/5,-48,6,1037823700
294,915200000,125,7,4/5,-77,0,1038899715
295,915400000,125,7,4/5,-63,1,1039975731
296,916000000,125,7,4/5,-72,4,1041051747
297,915600000,125,7,4/5,-69,2,1042127755
298,916400000,125,7,4/5,-69,6,1043203772
299,915800000,125,7,4/5,-72,3,1044279787
300,916200000,125,7,4/5,-69,5,1045355804
301,915400000,125,7,4/5,-64,1,1046431819
302,915600000,125,7,4/5,-67,2,1047507835
303,915200000,125,7,4/5,-69,0,1048583851
304,916400000,125,7,4/5,-73,6,1049659868
305,915800000,125,7,4/5,-71,3,1050735875
306,916000000,125,7,4/5,-77,4,1051811899
307,916200000,125,7,4/5,-63,5,1052887916
308,915400000,125,7,4/5,-68,1,1053963923
309,915800000,125,7,4/5,-81,3,1055039939
310,916400000,125,7,4/5,-82,6,1056115956
311,916000000,125,7,4/5,-82,4,1057191971
312,915600000,125,7,4/5,-75,2,1058267987
313,916200000,125,7,4/5,-77,5,1059344004
314,915200000,125,7,4/5,-77,0,1060420019
315,915400000,125,7,4/5,-73,1,1061496035
316,916200000,125,7,4/5,-83,5,1062572052
317,915600000,125,7,4/5,-66,2,1063648067
318,915800000,125,7,4/5,-85,3,1064724083
319,916400000,125,7,4/5,-72,6,1065800100
320,915200000,125,7,4/5,-83,0,1066876115
321,916000000,125,7,4/5,-83,4,1067952131
322,915800000,125,7,4/5,-76,3,1069028139
323,916000000,125,7,4/5,-75,4,1070104163
324,916400000,125,7,4/5,-83,6,1071180172
325,915200000,125,7,4/5,-71,0,1072256195
326,915600000,125,7,4/5,-77,2,1073332203
327,915400000,125,7,4/5,-69,1,1074408219
328,916200000,125,7,4/5,-76,5,1075484236
329,916000000,125,7,4/5,-72,4,1076560259
330,915400000,125,7,4/5,-82,1,1077636267
331,915600000,125,7,4/5,-90,2,1078712283
332,916400000,125,7,4/5,-79,6,1079788300
333,915800000,125,7,4/5,-72,3,1080864315
334,915200000,125,7,4/5,-75,0,1081940339
335,916200000,125,7,4/5,-81,5,1083016348
336,916200000,125,7,4/5,-75,5,1084092364
337,916400000,125,7,4/5,-76,6,1085168380
338,915600000,125,7,4/5,-83,2,1086244395
339,916000000,125,7,4/5,-78,4,1087320411
340,915200000,125,7,4/5,-75,0,1088396427
341,915400000,125,7,4/5,-71,1,1089472443
342,915800000,125,7,4/5,-72,3,1090548459
343,916400000,125,7,4/5,-65,6,1091624476
344,916200000,125,7,4/5,-69,5,1092700492
345,915200000,125,7,4/5,-54,0,1093776507
346,915600000,125,7,4/5,-60,2,1094852523
347,915800000,125,7,4/5,-71,3,1095928539
348,915400000,125,7,4/5,-64,1,1097004555
349,916000000,125,7,4/5,-70,4,1098080579
350,915600000,125,7,4/5,-60,2,1099156587
351,915400000,125,7,4/5,-61,1,1100232603
352,916400000,125,7,4/5,-77,6,1101308620
353,915800000,125,7,4/5,-69,3,1102384635
354,916200000,125,7,4/5,-69,5,1103460652
355,916000000,125,7,4/5,-73,4,1104536675
356,915200000,125,7,4/5,-89,0,1105612691
357,915400000,125,7,4/5,-77,1,1106688699
358,915200000,125,7,4/5,-71,0,1107764723
359,915600000,125,7,4/5,-77,2,1108840731
360,916400000,125,7,4/5,-75,6,1109916748
361,915800000,125,7,4/5,-70,3,1110992763
362,916200000,125,7,4/5,-67,5,1112068788
363,916000000,125,7,4/5,-77,4,1113144803
364,916400000,125,7,4/5,-75,6,1114220812
365,915600000,125,7,4/5,-70,2,1115296827
366,915800000,125,7,4/5,-72,3,1116372843
367,916200000,125,7,4/5,-81,5,1117448924
368,915400000,125,7,4/5,-78,1,1118524883
369,916000000,125,7,4/5,-82,4,1119600899
370,915200000,125,7,4/5,-87,0,1120676915
371,916400000,125,7,4/5,-76,6,1121752932
372,915200000,125,7,4/5,-85,0,1122828947
373,915600000,125,7,4/5,-81,2,1123904963
374,916000000,125,7,4/5,-73,4,1126921275
375,915400000,125,7,4/5,-76,1,1127997027
376,916200000,125,7,4/5,-76,5,1129073044
377,915800000,125,7,4/5,-78,3,1130149051
378,915200000,125,7,4/5,-83,0,1131225075
379,916200000,125,7,4/5,-89,5,1132301092
380,915400000,125,7,4/5,-84,1,1133377107
381,915600000,125,7,4/5,-85,2,1134453123
382,916000000,125,7,4/5,-87,4,1135529139
383,916400000,125,7,4/5,-85,6,1136605156
384,915800000,125,7,4/5,-78,3,1137681171
385,915600000,125,7,4/5,-78,2,1138757187
386,915400000,125,7,4/5,-79,1,1139833203
387,915800000,125,7,4/5,-81,3,1140909219
388,915200000,125,7,4/5,-93,0,1141985243
389,916400000,125,7,4/5,-85,6,1143061252
390,916200000,125,7,4/5,-84,5,1144137276
391,916000000,125,7,4/5,-90,4,1145213291
392,915400000,125,7,4/5,-87,1,1146289307
393,915600000,125,7,4/5,-86,2,1147365315
394,916000000,125,7,4/5,-83,4,1148441339
395,916400000,125,7,4/5,-79,6,1149517356
396,915200000,125,7,4/5,-77,0,1150593371
397,916200000,125,7,4/5,-69,5,1151669388
398,915800000,125,7,4/5,-67,3,1152745403
399,915400000,125,7,4/5,-69,1,1153821419
400,916000000,125,7,4/5,-75,4,1154897435
401,916400000,125,7,4/5,-77,6,1155973452
402,915800000,125,7,4/5,-71,3,1157049467
403,916200000,125,7,4/5,-69,5,1158125484
404,915200000,125,7,4/5,-70,0,1159201507
405,915600000,125,7,4/5,-70,2,1160277515
406,915400000,125,7,4/5,-69,1,1161353539
407,915600000,125,7,4/5,-69,2,1162429547
408,915200000,125,7,4/5,-73,0,1163505571
409,916000000,125,7,4/5,-70,4,1164581587
410,916400000,125,7,4/5,-70,6,1165657604
411,915800000,125,7,4/5,-68,3,1166733619
412,916200000,125,7,4/5,-69,5,1167809636
413,915400000,125,7,4/5,-70,1,1168885651
414,916000000,125,7,4/5,-69,4,1169961675
415,915800000,125,7,4/5,-69,3,1171037683
416,915200000,125,7,4/5,-70,0,1172113707
417,916400000,125,7,4/5,-72,6,1173189716
418,916200000,125,7,4/5,-72,5,1174265740
419,915600000,125,7,4/5,-67,2,1175341755
420,915600000,125,7,4/5,-69,2,1176417771
421,916000000,125,7,4/5,-71,4,1177493787
422,916200000,125,7,4/5,-71,5,1178569804
423,916400000,125,7,4/5,-73,6,1179645820
424,915800000,125,7,4/5,-73,3,1180721835
425,915200000,125,7,4/5,-71,0,1181797859
426,915400000,125,7,4/5,-70,1,1182873875
427,915600000,125,7,4/5,-68,2,1183949883
428,916000000,125,7,4/5,-71,4,1185025907
429,915800000,125,7,4/5,-69,3,1186101915
430,916200000,125,7,4/5,-71,5,1187177940
431,915400000,125,7,4/5,-70,1,1188253955
432,916400000,125,7,4/5,-75,6,1189329972
433,915200000,125,7,4/5,-79,0,1190405995
434,916200000,125,7,4/5,-76,5,1191482012
435,916000000,125,7,4/5,-75,4,1192558027
436,915800000,125,7,4/5,-78,3,1193634035
437,915400000,125,7,4/5,-73,1,1194710059
438,915200000,125,7,4/5,-75,0,1195786075
439,915600000,125,7,4/5,-66,2,1196862091
440,916400000,125,7,4/5,-81,6,1197938108
441,916400000,125,7,4/5,-81,6,1199014124
442,915800000,125,7,4/5,-78,3,1200090139
443,916000000,125,7,4/5,-79,4,1201166163
444,916200000,125,7,4/5,-73,5,1202242180
445,915600000,125,7,4/5,-70,2,1203318195
446,915200000,125,7,4/5,-79,0,1204394211
447,915400000,125,7,4/5,-83,1,1205470227
448,915800000,125,7,4/5,-73,3,1206546243
449,915200000,125,7,4/5,-76,0,1207622267
450,915400000,125,7,4/5,-71,1,1208698283
